node,segment,theta,lambda,original,new,tsts_original,tsts_new,rses_original,rses_new,eses_original,eses_new,total_change,tsts_change,tsts_judge,rses_change,rses_judge,eses_change,eses_judge
5774,5530,0,0.0249242194117725,1727123593.8386018,1727561124.8457913,10370380.03895691,10804061.503143847,70561103.73652227,70975544.86485225,70561103.73652227,70976051.28548977,437531.00718951225,433681.4641869366,True,414441.1283299774,True,414947.54896749556,True
3774,3609,0,0.0248336636603961,1727123593.8386018,1727537690.1523843,7184907.968603239,7612912.480132735,16968760.170848507,17389736.55852413,16968760.170848507,17389933.954202536,414096.31378245354,428004.51152949594,True,420976.38767562434,True,421173.78335402906,True
5836,5588,0,0.0248127192335975,1727123593.8386018,1727355319.7417173,5052913.246687697,5296878.421627126,82444357.2083666,82673654.48334461,82444357.2083666,82672943.65017372,231725.90311551094,243965.17493942846,True,229297.27497801185,True,228586.44180712104,True
1460,1398,0,0.0247189655522783,1727123593.8386018,1727561187.612699,10006298.118000638,10485873.729634857,80834249.24729471,81287880.51680799,80834249.24729471,81288709.8767738,437593.7740972042,479575.61163421907,True,453631.2695132792,True,454460.62947909534,True
6748,6461,0,0.0247098768352367,1727123593.8386018,1727388867.4328675,6282902.0173838055,6550983.956753588,63681706.93777803,63924026.334954955,63681706.93777803,63924442.62971945,265273.5942656994,268081.9393697828,True,242319.39717692137,True,242735.69194141775,True
3117,2981,0,0.0246037550761245,1727123593.8386018,1727614917.0033877,11139438.910158616,11690978.208138248,45938232.137151845,46463727.984897204,45938232.137151845,46464561.97388871,491323.16478586197,551539.2979796324,True,525495.847745359,True,526329.8367368653,True
621,597,0,0.0245851877573529,1727123593.8386018,1727410341.267577,5199802.372479361,5460796.1340046665,36842509.82235705,37095802.482593484,36842509.82235705,37095318.218928605,286747.4289751053,260993.76152530592,True,253292.66023643315,True,252808.39657155424,True
6946,6652,0,0.0244363743330783,1727123593.8386018,1727337510.1974497,4090114.724381147,4311939.482509833,35941019.02570771,36147621.582408756,35941019.02570771,36148293.03684313,213916.35884785652,221824.75812868588,True,206602.5567010492,True,207274.0111354217,True
1809,1733,0,0.0244196161703436,1727123593.8386018,1727521748.3125422,6530247.8168432545,6927889.582057242,18174352.629753217,18566772.608867396,18174352.629753217,18567330.493790045,398154.47394037247,397641.7652139878,True,392419.97911417857,True,392977.8640368283,True
1300,1246,0,0.0242977203140349,1727123593.8386018,1727779368.2165985,12466141.389441382,13121970.147892427,46479740.25677763,47134550.963013135,46479740.25677763,47134732.884416364,655774.3779966831,655828.7584510446,True,654810.7062355056,True,654992.6276387349,True
5372,5144,0,0.0242879491668339,1727123593.8386018,1727815362.5851378,17311783.149717256,18078113.61021876,90776379.41753468,91512448.88785899,90776379.41753468,91513020.00758615,691768.7465360165,766330.4605015032,True,736069.4703243077,True,736640.5900514722,True
0,0,0,0.02426940830323,1727123593.8386018,1727536238.7416623,8686985.21028097,9118716.773387253,52647306.650359906,53064510.892122135,52647306.650359906,53064876.2688846,412644.90306043625,431731.56310628355,True,417204.2417622283,True,417569.61852469295,True
2301,2202,0,0.0242525171574948,1727123593.8386018,1727529294.5172846,8166724.896620709,8519608.191522216,111979923.49357635,112321249.37601018,111979923.49357635,112321918.81649354,405700.6786828041,352883.294901507,True,341325.8824338317,True,341995.3229171932,True
3870,3701,0,0.0240630593085243,1727123593.8386018,1727513775.5946355,7701688.714418005,8096073.656401931,46864459.52635033,47234259.232859,46864459.52635033,47235141.90034443,390181.756033659,394384.9419839261,True,369799.7065086737,True,370682.37399410456,True
1640,1572,0,0.0239380427815529,1727123593.8386018,1727460683.1493707,7504106.2096798625,7843391.454039212,75649886.41510573,75963864.96156125,75649886.41510573,75964848.41200319,337089.3107688427,339285.24435934983,True,313978.5464555174,True,314961.99689745903,True
5938,5686,0,0.0239279561887277,1727123593.8386018,1727570947.3229527,7831335.925276819,8302205.721264791,13458007.1812208,13929541.94921038,13458007.1812208,13929542.088537743,447353.4843509197,470869.79598797206,True,471534.7679895796,True,471534.90731694363,True
3441,3289,0,0.0239246490719105,1727123593.8386018,1727371627.3003988,7908198.10171231,8238930.388685025,57204713.373912916,57472997.09983693,57204713.373912916,57472443.736433744,248033.46179699898,330732.2869727155,True,268283.72592401505,True,267730.36252082884,True
1378,1320,0,0.0239088510018315,1727123593.8386018,1727631553.6898563,14189512.139466103,14794685.602797516,71602968.85823344,72180854.50856303,71602968.85823344,72181242.70695204,507959.8512544632,605173.4633314125,True,577885.6503295898,True,578273.8487185985,True
2588,2477,0,0.0239082596109704,1727123593.8386018,1727278610.1132853,3181463.064136085,3337525.815300137,48076614.26075971,48222299.06341868,48076614.26075971,48222673.21323148,155016.2746834755,156062.7511640517,True,145684.80265896767,True,146058.95247177035,True
5774,5531,0,0.0237352124620755,1727123593.8386018,1727302554.5684667,10370380.03895691,10547361.65546054,73174979.61781429,73340093.53748052,73174979.61781429,73340231.31706549,178960.72986483574,176981.61650362983,True,165113.91966623068,True,165251.69925120473,True
4278,4093,0,0.0237031740421393,1727123593.8386018,1727700553.1437228,10767265.12361563,11341886.741802456,26638799.078719124,27188629.018924456,26638799.078719124,27189344.635206934,576959.305120945,574621.6181868259,True,549829.9402053319,True,550545.5564878099,True
6748,1439,0,0.0236084416703381,1727123593.8386018,1727165917.8248017,12112912.771016303,12159224.096273998,63681706.93777803,63724994.99430812,63681706.93777803,63724433.89243331,42323.986199855804,46311.32525769435,True,43288.056530088186,True,42726.95465527475,True
2446,2341,0,0.0235977562642126,1727123593.8386018,1727437370.1924338,6577819.707448314,6875904.849949099,91072064.56226523,91354895.46423209,91072064.56226523,91355172.93680581,313776.35383200645,298085.1425007852,True,282830.90196685493,True,283108.3745405823,True
5836,6553,0,0.0235612273050539,1727123593.8386018,1727161132.7141168,11805029.349324942,11845170.918009805,82761950.67504531,82799072.3649159,82761950.67504531,82799072.89150205,37538.87551498413,40141.56868486293,True,37121.68987059593,True,37122.216456741095,True
717,688,0,0.0235411745891462,1727123593.8386018,1727862416.9533598,11133439.723605245,11815257.53452198,19157265.009352922,19839577.786407728,19157265.009352922,19839578.391806398,738823.1147580147,681817.8109167349,True,682312.7770548053,True,682313.3824534751,True
1460,5070,0,0.0234745865269347,1727123593.8386018,1727157467.418493,15268938.708051696,15306888.797994127,94696742.12366794,94731647.59183198,94696742.12366794,94731635.48702435,33873.579891204834,37950.08994243108,True,34905.46816404164,True,34893.36335641146,True
94,90,0,0.023442132762843,1727123593.8386018,1727485233.8685827,9829126.275540877,10261734.177049957,39339707.60018639,39748123.06479458,39339707.60018639,39748279.42868479,361640.0299808979,432607.9015090801,True,408415.464608185,True,408571.82849840075,True
6748,6462,0,0.0234114987666002,1727123593.8386018,1727224272.2931476,6282902.0173838055,6382640.581266673,63681706.93777803,63772683.193036646,63681706.93777803,63772959.26950511,100678.45454573631,99738.5638828678,True,90976.25525861233,True,91252.33172708005,True
1460,5069,0,0.023357381503059,1727123593.8386018,1727158010.24571,15268938.708051696,15307966.854435366,84326362.08471103,84362944.82638025,84326362.08471103,84362959.91511078,34416.407108068466,39028.14638366923,True,36582.74166922271,True,36597.83039975166,True
5836,4041,0,0.0233443297475729,1727123593.8386018,1727143409.3624408,9286400.65836148,9307877.927749118,93376689.73886774,93396699.31175396,93376689.73886774,93396659.73164888,19815.523838996887,21477.269387638196,True,20009.57288621366,True,19969.99278113246,True
