segment_id,edge_id,OD_id,type,length,matching_nodes,shared_distance,detour
0,"[1264, 393, 3116, 2245]",0,1,0.00,[0],[9500],[0]
1,[1263],0,0,500.00,"[0, 3791]","[9500, 8000]","[1000, 0]"
2,[1262],0,0,500.00,[3791],[8000],[0]
3,[1261],0,0,500.00,[3791],[8000],[0]
4,[1260],0,0,500.00,[3791],[8000],[1000]
5,[1259],0,0,500.00,[],[],[]
6,[1258],0,0,500.00,[],[],[]
7,[1257],0,0,500.00,[],[],[]
8,[1256],0,0,500.00,[],[],[]
9,[1255],0,0,500.00,[],[],[]
10,[1254],0,0,500.00,[398],[3500],[0]
11,[1253],0,0,500.00,[398],[3500],[0]
12,[1252],0,0,500.00,[398],[3500],[1000]
13,[1898],0,0,500.00,"[2802, 398]","[3000, 3500]","[1000, 1000]"
14,[1899],0,0,500.00,[2802],[3000],[1000]
15,[1900],0,0,500.00,[5719],[1000],[0]
16,[1901],0,0,500.00,[5719],[1000],[0]
17,[1902],0,0,500.00,[5719],[1000],[0]
18,[1903],0,0,500.00,"[1897, 1798, 5719]","[500, 500, 1000]","[1000, 1000, 1000]"
19,[1904],0,0,500.00,[],[],[]
20,"[2286, 3157, 1613, 742]",1,1,0.00,[21],[3500],[0]
21,[743],1,0,500.00,[21],[3500],[1000]
22,[744],1,0,500.00,[],[],[]
23,[745],1,0,500.00,[5350],[2000],[1000]
24,[746],1,0,500.00,[5350],[2000],[1000]
25,[747],1,0,500.00,[],[],[]
26,[3301],1,0,500.00,[561],[500],[1000]
27,[3300],1,0,500.00,[],[],[]
28,"[3448, 2577, 1652, 781]",2,1,0.00,[30],[24500],[0]
29,[3447],2,0,500.00,[30],[24500],[1000]
30,[3446],2,0,500.00,[4256],[10000],[0]
31,[3445],2,0,500.00,"[4256, 3683, 4460]","[10000, 7000, 13000]","[0, 0, 1000]"
32,[3444],2,0,500.00,"[4256, 4460]","[10000, 13000]","[1000, 1000]"
33,[3443],2,0,500.00,[421],[22000],[1000]
34,[3442],2,0,500.00,[421],[22000],[1000]
35,[3441],2,0,500.00,[1710],[9000],[0]
