OD_id,origin_id,destination_id,order_number,lambda
0,105,27,3819,0.062401961
1,27,224,3780,0.061764706
2,27,105,3738,0.061078431
3,314,473,3711,0.060637255
4,27,310,3214,0.05251634
5,27,380,3143,0.051356209
6,27,314,3067,0.050114379
7,335,27,3044,0.049738562
8,27,582,2889,0.047205882
9,27,80,2875,0.046977124
10,314,27,2700,0.044117647
11,473,314,2617,0.042761438
12,105,80,2554,0.041732026
13,105,314,2523,0.04122549
14,27,16,2493,0.040735294
15,335,105,2491,0.040702614
16,27,335,2450,0.04003268
17,314,224,2350,0.038398693
18,105,582,2343,0.038284314
19,473,582,2340,0.038235294
20,27,331,2313,0.037794118
21,27,9,2297,0.03753268
22,27,158,2290,0.037418301
23,105,380,2275,0.037173203
24,27,32,2274,0.037156863
25,27,230,2228,0.036405229
26,27,655,2174,0.035522876
27,314,105,2138,0.034934641
28,77,27,2115,0.034558824
29,335,582,2078,0.033954248
30,314,380,2062,0.03369281
31,582,473,2041,0.033349673
32,335,314,2031,0.033186275
33,27,473,2015,0.032924837
34,230,27,1956,0.031960784
35,313,473,1942,0.031732026
36,311,27,1934,0.031601307
37,105,224,1927,0.031486928
38,32,27,1927,0.031486928
39,77,105,1926,0.031470588
40,582,27,1883,0.030767974
41,9,27,1869,0.030539216
42,77,314,1864,0.030457516
43,27,334,1853,0.030277778
44,314,80,1849,0.030212418
45,27,353,1841,0.030081699
46,105,16,1833,0.02995098
47,224,27,1817,0.029689542
48,335,380,1811,0.029591503
49,588,473,1800,0.029411765
50,335,80,1797,0.029362745
51,77,224,1796,0.029346405
52,331,27,1777,0.029035948
53,27,10,1759,0.02874183
54,27,311,1728,0.028235294
55,27,379,1726,0.028202614
56,77,380,1726,0.028202614
57,314,32,1710,0.027941176
58,27,26,1702,0.027810458
59,27,302,1701,0.027794118
60,105,335,1692,0.027647059
61,27,558,1682,0.02748366
62,27,219,1682,0.02748366
63,380,27,1677,0.027401961
64,314,522,1669,0.027271242
65,27,27,1668,0.027254902
66,27,367,1657,0.027075163
67,77,331,1614,0.026372549
68,77,16,1611,0.026323529
