link_id,length,from_node_id,to_node_id
0,646.1183758,0,36
1,886.4816791,36,35
2,225.3193334,35,1
3,169.7103984,1,37
4,388.9632178,37,38
5,140.3777707,38,40
6,277.7521797,40,39
7,325.6345814,39,2
8,361.3964807,2,46
9,242.3749543,46,44
10,293.5861681,44,43
11,285.9616171,43,42
12,523.0269785,42,47
13,304.7938661,47,45
14,417.0486839,45,48
15,468.8529372,48,41
16,527.0970249,41,3
17,137.2885805,3,53
18,62.31609303,53,52
19,469.1272246,52,54
20,1091.125175,54,50
21,938.4889823,50,56
22,293.6302724,56,55
23,458.7760518,55,51
24,3.711227952,51,49
25,276.6644715,49,57
26,552.1659673,57,4
27,1298.024209,4,58
28,1231.463712,58,59
29,1774.894459,59,3
30,983.5823818,3,60
31,418.2004948,60,61
32,829.560889,61,62
33,579.7859305,62,63
34,603.8514779,63,2
35,601.2152016,2,64
36,695.2772296,64,1
37,1121.122239,1,65
38,644.7587704,65,0
39,500.0487146,5,66
40,428.1693288,66,67
41,663.3175873,67,6
42,406.2736769,6,70
43,284.8291022,70,69
44,335.0298745,69,68
45,345.3497052,68,7
46,474.9816739,7,72
47,356.120736,72,71
48,520.2102017,71,33
49,277.141112,33,75
50,692.7255961,75,74
51,489.5438483,74,73
52,251.165703,73,76
53,151.4972779,76,8
54,1139.226994,8,10
55,334.5070244,10,79
56,533.3634763,79,78
57,280.7274116,78,80
58,608.5627288,80,77
59,1404.250837,77,11
60,517.3630377,11,81
61,390.9560693,81,82
62,976.6558258,82,12
63,516.7130548,12,83
64,460.2991229,83,84
65,906.049357,84,11
66,420.940663,11,87
67,294.4262079,87,90
68,234.0753961,90,86
69,226.145908,86,89
70,236.1895317,89,91
71,602.0999358,91,93
72,287.0601137,93,88
73,233.9854661,88,85
74,290.6138862,85,92
75,332.0068678,92,10
76,1141.430092,10,8
77,146.9644527,8,94
78,251.3698176,94,96
79,491.3823873,96,95
80,970.041389,95,33
81,445.463462,33,98
82,85.93268728,98,97
83,726.336116,97,99
84,92.83889397,99,7
85,971.7744261,7,100
86,407.4833795,100,6
87,115.6530248,6,101
88,546.072195,101,103
89,623.5839179,103,102
90,294.6412055,102,5
91,399.9567636,8,104
92,714.4850463,104,9
93,917.434236,9,108
94,340.3037059,108,109
95,114.8823506,109,105
96,433.7201157,105,106
97,617.3466503,106,110
98,1097.787263,110,107
99,759.5555887,107,111
100,484.6583696,111,11
101,1259.979852,11,122
102,333.7586614,122,118
103,318.2219027,118,117
104,443.8127937,117,116
105,228.9064406,116,119
106,173.1636258,119,114
107,962.2840259,114,115
108,125.6632745,115,120
109,149.8488089,120,112
110,93.17507675,112,121
111,412.4950885,121,113
112,665.2328627,113,9
113,709.952705,9,123
114,411.566054,123,8
115,631.2801621,13,124
116,768.1872145,124,14
117,232.074882,14,125
118,304.5590487,125,126
119,994.8317704,126,15
120,1073.543166,15,127
121,42.75054459,127,34
122,929.5183718,34,128
123,709.2437781,128,129
124,863.3622664,129,131
125,543.1951891,131,130
126,770.2253938,130,16
127,394.330076,16,134
128,269.7708886,134,135
129,460.5203073,135,132
130,498.150453,132,133
131,413.4692875,133,17
132,885.5838264,17,136
133,251.297749,136,137
134,751.0827707,137,18
135,1002.740888,18,139
136,538.8553695,139,138
137,346.2200373,138,17
138,471.9326501,17,140
139,443.0433626,140,142
140,458.7431392,142,141
141,671.1967419,141,16
142,450.0099746,16,147
143,863.3181233,147,144
144,433.9539609,144,143
145,426.4541777,143,146
146,711.5558999,146,145
147,924.4504371,145,34
148,642.6547334,34,148
149,485.9956236,148,15
150,516.4572922,15,149
151,289.610005,149,150
152,192.5876466,150,151
153,534.069738,151,14
154,1403.877071,14,13
155,541.8747535,19,152
156,480.7441526,152,20
157,1040.872658,20,153
158,928.2938974,153,21
159,1051.703707,21,154
160,1087.242196,154,155
161,902.8043782,155,156
162,918.6692177,156,157
